#Normalization-constant  6.46299e+02
#lambda         flux
1.0915153e+00  9.21318e-01
1.0915309e+00  9.26956e-01
1.0915464e+00  9.04102e-01
1.0915620e+00  8.99136e-01
1.0915775e+00  9.25279e-01
1.0915932e+00  9.27269e-01
1.0916087e+00  9.35047e-01
1.0916243e+00  9.66397e-01
1.0916398e+00  9.59035e-01
1.0916554e+00  9.34020e-01
1.0916709e+00  9.38141e-01
1.0916865e+00  9.48374e-01
1.0917020e+00  9.33365e-01
1.0917176e+00  9.58187e-01
1.0917332e+00  9.90237e-01
1.0917487e+00  9.62977e-01
1.0917643e+00  9.49374e-01
1.0917798e+00  9.56606e-01
1.0917955e+00  9.41132e-01
1.0918110e+00  9.47878e-01
1.0918266e+00  9.54406e-01
1.0918421e+00  9.35783e-01
1.0918577e+00  9.40690e-01
1.0918732e+00  9.52943e-01
1.0918888e+00  9.34714e-01
1.0919043e+00  9.13113e-01
1.0919199e+00  8.95073e-01
1.0919354e+00  8.99537e-01
1.0919510e+00  9.04524e-01
1.0919665e+00  9.18695e-01
1.0919821e+00  9.10136e-01
1.0919978e+00  9.55341e-01
1.0920132e+00  9.75832e-01
1.0920289e+00  9.76010e-01
1.0920444e+00  9.68331e-01
1.0920600e+00  9.76955e-01
1.0920755e+00  9.79351e-01
1.0920911e+00  1.00635e+00
1.0921066e+00  1.00158e+00
1.0921222e+00  1.00030e+00
1.0921377e+00  1.00589e+00
1.0921534e+00  9.96825e-01
1.0921689e+00  1.00755e+00
1.0921845e+00  1.02569e+00
1.0922000e+00  1.02845e+00
1.0922156e+00  1.02135e+00
1.0922311e+00  1.00647e+00
1.0922468e+00  1.00103e+00
1.0922623e+00  1.00713e+00
1.0922779e+00  9.81395e-01
1.0922935e+00  9.93072e-01
1.0923090e+00  1.01091e+00
1.0923246e+00  1.03118e+00
1.0923401e+00  1.02014e+00
1.0923557e+00  1.00947e+00
1.0923712e+00  1.02651e+00
1.0923868e+00  1.01029e+00
1.0924023e+00  1.01158e+00
1.0924179e+00  1.01515e+00
1.0924334e+00  1.03515e+00
1.0924491e+00  1.03336e+00
1.0924646e+00  1.01474e+00
1.0924802e+00  1.01962e+00
1.0924957e+00  1.01520e+00
1.0925113e+00  9.82217e-01
1.0925268e+00  9.93592e-01
1.0925424e+00  9.94602e-01
1.0925579e+00  9.73797e-01
1.0925735e+00  9.60740e-01
1.0925891e+00  9.53846e-01
1.0926046e+00  9.68793e-01
1.0926202e+00  9.28053e-01
1.0926357e+00  9.35005e-01
1.0926514e+00  9.63063e-01
1.0926669e+00  9.49717e-01
1.0926825e+00  9.44370e-01
1.0926980e+00  9.48718e-01
1.0927136e+00  9.78951e-01
1.0927291e+00  9.63746e-01
1.0927447e+00  9.53911e-01
1.0927602e+00  9.47037e-01
1.0927758e+00  9.62063e-01
1.0927913e+00  9.50947e-01
1.0928069e+00  9.70894e-01
1.0928224e+00  9.75807e-01
1.0928380e+00  9.61966e-01
1.0928535e+00  9.53939e-01
1.0928692e+00  9.58670e-01
1.0928848e+00  9.53296e-01
1.0929003e+00  9.28865e-01
1.0929159e+00  9.31457e-01
1.0929314e+00  9.48231e-01
1.0929470e+00  9.50870e-01
1.0929625e+00  8.50191e-01
1.0929781e+00  9.18647e-01
1.0929936e+00  9.33048e-01
1.0930092e+00  9.47158e-01
1.0930247e+00  9.01572e-01
1.0930403e+00  9.26833e-01
1.0930558e+00  9.12033e-01
1.0930715e+00  9.26759e-01
1.0930869e+00  9.16360e-01
1.0931026e+00  9.65708e-01
1.0931181e+00  1.01202e+00
1.0931337e+00  9.64322e-01
1.0931492e+00  9.42370e-01
1.0931648e+00  8.84933e-01
1.0931804e+00  8.81980e-01
1.0931959e+00  9.04651e-01
1.0932115e+00  8.90535e-01
1.0932270e+00  9.23136e-01
1.0932426e+00  9.13168e-01
1.0932581e+00  9.07287e-01
1.0932737e+00  9.01837e-01
1.0932892e+00  8.86486e-01
1.0933049e+00  9.00619e-01
1.0933204e+00  9.35189e-01
1.0933360e+00  9.11246e-01
1.0933515e+00  8.87594e-01
1.0933671e+00  8.87177e-01
1.0933826e+00  8.60428e-01
1.0933982e+00  8.60677e-01
1.0934137e+00  8.83957e-01
1.0934293e+00  8.71219e-01
1.0934449e+00  8.48831e-01
